Filename,Field,Textual Score,WER,CER,Levenshtein,Precision,Recall,F1,Found
215875,Title,,0.8666666666666667,0.7327586206896551,0.7327586206896551,,,,0
215875,Author,,0.6666666666666666,0.2631578947368421,0.2631578947368421,,,,0
215875,Publication Year,,,,,1.0,1.0,1.0,1
215875,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
217292,Title,,1.0,0.6902654867256637,0.572463768115942,,,,0
217292,Author,,0.5,0.25,0.25,,,,0
217292,Publication Year,,,,,1.0,1.0,1.0,1
217292,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
219907,Title,,0.7142857142857143,0.15384615384615385,0.15384615384615385,,,,0
219907,Author,,2.0,1.9090909090909092,0.7777777777777778,,,,0
219907,Publication Year,,,,,1.0,1.0,1.0,1
219907,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226004,Title,,0.3333333333333333,0.3958333333333333,0.3958333333333333,,,,0
226004,Author,,0.0,0.0,0.0,,,,1
226004,Publication Year,,,,,1.0,1.0,1.0,1
226004,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226696,Title,,1.0,1.0,1.0,,,,0
226696,Author,,1.0,1.0,1.0,,,,0
226696,Publication Year,,,,,1.0,1.0,1.0,1
226696,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
471653,Title,,1.0,1.0,1.0,,,,0
471653,Author,,1.0,1.0,1.0,,,,0
471653,Publication Year,,,,,1.0,1.0,1.0,1
471653,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
517600,Title,,0.5,0.5319148936170213,0.5319148936170213,,,,0
517600,Author,,1.0,0.9,0.8181818181818182,,,,0
517600,Publication Year,,,,,1.0,1.0,1.0,1
517600,Groundwater level mentioned,,,,,0.0,0.0,0.0,0
521278,Title,,1.0,0.6071428571428571,0.6071428571428571,,,,0
521278,Author,,1.0,1.0,1.0,,,,0
521278,Publication Year,,,,,1.0,1.0,1.0,1
521278,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
